name,rank,score,avg,female,male,f/m
Health and survival,40,0.979,0.958,,,
"Sex ratio at birth, %",1,0.944,0.925,–,–,0.95
"Healthy life expectancy, years",59,1.059,1.034,76.9,72.6,1.06
